,fighter,Height,Weight,Reach,Stance,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg
576,Reese Andy,"6' 0""",205 lbs.,,Orthodox,"Mar 31, 1973",2.87,50%,3.5,58%,0.67,20%,40%,0.0
577,Andre Gusmao,"6' 0""",205 lbs.,,Orthodox,"May 19, 1977",2.79,43%,3.28,60%,0.0,0%,60%,0.0
578,Dan Evensen,"6' 3""",250 lbs.,,Orthodox,"Jun 01, 1974",0.27,10%,3.86,38%,0.0,0%,0%,4.0
579,Ryan Thomas,"6' 0""",170 lbs.,,Orthodox,"Nov 05, 1984",2.01,36%,4.17,30%,5.59,33%,0%,2.2
580,Jon Jones,"6' 4""",205 lbs.,"84""",Orthodox,"Jul 19, 1987",4.3,57%,2.22,64%,1.85,44%,95%,0.4
581,Steve Bruno,"5' 10""",170 lbs.,,Orthodox,"Nov 03, 1981",0.96,52%,3.38,36%,1.94,25%,46%,0.4
582,Michael Patt,"6' 0""",205 lbs.,,Orthodox,,1.65,28%,5.53,55%,0.0,0%,0%,0.0
583,Jason Brilz,"5' 11""",205 lbs.,"71""",Orthodox,"Jul 07, 1975",2.66,40%,1.78,65%,2.37,25%,25%,1.3
584,Mike Massenzio,"6' 2""",185 lbs.,"73""",Southpaw,"Nov 01, 1982",2.08,45%,3.59,54%,2.74,24%,50%,1.4
585,Dan Miller,"6' 1""",185 lbs.,"74""",Orthodox,"Jun 30, 1981",2.03,36%,3.06,49%,1.67,54%,47%,1.8
586,Joe Vedepo,"6' 0""",185 lbs.,,Orthodox,,1.43,42%,5.71,38%,1.07,20%,0%,0.0
587,Jim Miller,"5' 8""",155 lbs.,"71""",Southpaw,"Aug 30, 1983",2.73,40%,2.99,59%,1.69,43%,46%,1.9
588,David Baron,"5' 6""",155 lbs.,,Switch,"Feb 15, 1973",1.17,30%,2.1,56%,0.0,0%,14%,0.7
589,Neil Wain,"5' 10""",242 lbs.,,Orthodox,,2.64,50%,8.57,43%,0.0,0%,50%,0.0
590,Dan Hardy,"6' 0""",170 lbs.,"74""",Orthodox,"May 17, 1982",2.46,35%,3.44,51%,0.73,35%,35%,0.4
591,Matt Horwich,"6' 1""",185 lbs.,,Orthodox,"Oct 02, 1978",1.11,62%,2.16,38%,0.33,9%,28%,2.7
592,Junior Dos Santos,"6' 4""",238 lbs.,"77""",Orthodox,"Jan 30, 1984",4.49,47%,3.33,56%,0.3,50%,81%,0.1
593,Josh Hendricks,"6' 2""",235 lbs.,,Southpaw,"Aug 28, 1976",0.98,20%,11.8,29%,0.0,0%,0%,0.0
594,Rafael Dos Anjos,"5' 8""",155 lbs.,"70""",Southpaw,"Oct 26, 1984",3.49,46%,3.22,61%,1.93,37%,58%,0.6
595,Steve Cantwell,"6' 2""",185 lbs.,"75""",Orthodox,"Dec 08, 1986",3.63,34%,5.76,55%,0.65,30%,80%,0.7
596,Brandon Wolff,"5' 9""",170 lbs.,,Orthodox,"Oct 18, 1975",0.47,33%,10.91,19%,0.0,0%,0%,0.0
597,Razak Al-Hassan,"6' 2""",205 lbs.,,Orthodox,"May 14, 1982",3.27,39%,3.14,60%,0.65,14%,57%,0.0
598,Krzysztof Soszynski,"6' 1""",205 lbs.,"77""",Open Stance,"Aug 02, 1977",3.37,39%,3.13,58%,0.52,25%,71%,1.0
599,Tom Lawlor,"6' 0""",205 lbs.,"74""",Southpaw,"May 15, 1983",2.5,42%,2.41,60%,2.46,32%,57%,1.4
600,Ryan Bader,"6' 2""",205 lbs.,"74""",Orthodox,"Jun 07, 1983",2.82,43%,1.39,71%,3.37,44%,80%,0.4
601,Eliot Marshall,"6' 2""",205 lbs.,"77""",Orthodox,"Jul 07, 1980",1.93,27%,2.39,67%,0.47,33%,79%,0.9
602,Shane Nelson,"5' 9""",155 lbs.,"70""",Southpaw,"Nov 29, 1984",1.38,31%,2.84,61%,1.31,18%,54%,1.6
603,Rolando Delgado,"6' 3""",155 lbs.,"77""",Orthodox,"Nov 22, 1981",1.56,40%,1.83,62%,1.17,22%,0%,3.5
604,Efrain Escudero,"5' 9""",155 lbs.,"71""",Orthodox,"Jan 15, 1986",2.92,44%,2.3,63%,1.31,40%,66%,0.8
605,George Roop,"6' 1""",135 lbs.,"72""",Orthodox,"Nov 10, 1981",3.43,34%,2.47,60%,1.05,57%,59%,0.1
606,John Polakowski,"5' 10""",155 lbs.,,Orthodox,"Jun 21, 1981",2.6,26%,2.83,50%,0.0,0%,87%,0.7
607,David Kaplan,"5' 7""",155 lbs.,,Orthodox,"Nov 16, 1979",2.88,46%,4.32,67%,4.88,43%,0%,0.7
608,Kyle Kingsbury,"6' 4""",205 lbs.,"79""",Orthodox,"Mar 22, 1982",2.97,40%,3.81,51%,2.64,41%,52%,0.0
609,Phillipe Nover,"5' 9""",145 lbs.,"72""",Orthodox,"Feb 03, 1984",1.79,35%,2.48,56%,0.99,28%,44%,0.7
610,Vinny Magalhaes,"6' 3""",205 lbs.,"75""",Orthodox,"Jul 02, 1984",2.14,24%,3.97,68%,1.55,44%,66%,0.8
611,Jules Bruchez,"6' 0""",205 lbs.,,Southpaw,"Aug 16, 1977",0.69,50%,5.52,46%,0.0,0%,0%,0.0
612,Junie Browning,"5' 9""",155 lbs.,,Orthodox,"May 12, 1984",3.76,48%,1.76,66%,3.53,66%,0%,3.5
613,Shane Primm,"6' 3""",205 lbs.,,Orthodox,"Jul 30, 1984",0.83,26%,2.25,62%,1.78,20%,0%,0.0
614,Pat Barry,"5' 11""",235 lbs.,"74""",Orthodox,"Jul 07, 1979",2.72,52%,3.54,59%,0.0,0%,76%,0.2
615,Mostapha Al-Turk,"6' 2""",245 lbs.,"77""",Orthodox,"Jul 14, 1973",1.36,19%,3.61,53%,0.0,0%,0%,0.0
616,Mike Wessel,"6' 0""",260 lbs.,,Orthodox,"Dec 02, 1977",1.82,56%,6.43,22%,6.29,50%,0%,0.0
617,Tom Egan,"5' 11""",170 lbs.,,Orthodox,,0.0,0%,3.91,50%,0.0,0%,28%,0.0
618,Alexandre Barros,"5' 9""",170 lbs.,,Southpaw,"Nov 19, 1976",0.98,40%,4.05,36%,1.84,50%,100%,0.0
619,Ivan Serati,"6' 0""",205 lbs.,,Orthodox,,0.86,26%,5.33,29%,0.0,0%,0%,0.0
620,John Hathaway,"6' 1""",170 lbs.,"75""",Orthodox,"Jul 23, 1987",3.4,40%,1.8,62%,2.61,43%,60%,0.9
621,Denis Kang,"5' 11""",185 lbs.,"77""",Orthodox,"Sep 17, 1977",2.27,35%,1.65,67%,2.51,65%,38%,1.2
622,John Howard,"5' 7""",170 lbs.,"72""",Orthodox,"Mar 01, 1983",2.15,50%,3.08,51%,2.7,49%,53%,0.4
623,Dan Cramer,"6' 2""",170 lbs.,,Orthodox,"Oct 31, 1985",0.97,30%,2.1,31%,0.0,0%,66%,0.5
624,Nick Catone,"6' 0""",185 lbs.,"72""",Southpaw,"Sep 01, 1981",2.11,44%,2.32,63%,3.71,44%,83%,0.5
625,Matt Veach,"5' 11""",155 lbs.,,Orthodox,"May 31, 1981",1.12,28%,4.91,44%,3.64,38%,100%,1.5
626,Denis Stojnic,"6' 0""",245 lbs.,,Orthodox,"Feb 02, 1980",1.51,23%,6.06,36%,0.0,0%,80%,1.0
627,Jake Rosholt,"6' 1""",185 lbs.,,Orthodox,"Feb 09, 1982",2.68,53%,2.33,49%,6.51,68%,0%,1.8
628,Derek Downey,"6' 1""",185 lbs.,,Orthodox,"Apr 27, 1980",0.32,100%,3.36,12%,2.4,16%,0%,0.0
629,Mike Ciesnolevicz,"6' 0""",235 lbs.,,Orthodox,"Oct 28, 1979",0.51,50%,4.62,57%,0.0,0%,20%,5.1
630,Paulo Thiago,"5' 11""",170 lbs.,"74""",Orthodox,"Jan 25, 1981",1.71,39%,1.99,63%,1.42,31%,63%,1.2
631,Evan Dunham,"5' 10""",155 lbs.,"70""",Southpaw,"Dec 18, 1981",5.33,39%,3.54,61%,1.82,33%,79%,1.0
632,Neil Grove,"6' 6""",265 lbs.,,Orthodox,"Jan 18, 1971",0.0,0%,0.0,0%,0.0,0%,100%,14.3
633,Stefan Struve,"6' 11""",265 lbs.,"84""",Orthodox,"Feb 18, 1988",3.12,47%,4.04,46%,0.56,46%,55%,1.7
634,Brian Cobb,"5' 11""",155 lbs.,,Orthodox,,0.0,0%,3.68,55%,5.81,50%,0%,0.0
635,Ryan Madigan,"6' 0""",170 lbs.,,Orthodox,,0.0,0%,3.35,47%,0.0,0%,0%,0.0
636,Mark Munoz,"6' 0""",185 lbs.,"71""",Orthodox,"Feb 09, 1978",3.12,51%,2.26,57%,3.17,29%,57%,0.6
637,Aaron Simpson,"6' 0""",170 lbs.,"73""",Orthodox,"Jul 20, 1974",3.6,52%,2.53,56%,3.78,34%,83%,0.5
638,Jesse Sanders,"6' 0""",170 lbs.,,Orthodox,,0.0,0%,6.45,35%,0.0,0%,50%,0.0
639,Carlos Condit,"6' 2""",170 lbs.,"75""",Orthodox,"Apr 26, 1984",3.63,39%,2.49,56%,0.62,54%,39%,1.0
640,Tim McKenzie,"6' 0""",185 lbs.,"74""",Orthodox,"Jul 21, 1982",1.37,54%,2.96,44%,0.0,0%,28%,2.1
641,Nissen Osterneck,"6' 2""",185 lbs.,,Orthodox,"May 01, 1981",3.15,58%,2.9,41%,0.63,12%,42%,1.3
642,TJ Grant,"5' 10""",155 lbs.,"72""",Orthodox,"Feb 26, 1984",3.95,54%,3.21,56%,1.63,43%,36%,0.6
643,Brian Stann,"6' 1""",205 lbs.,"74""",Orthodox,"Sep 24, 1980",3.28,42%,2.65,59%,0.12,12%,60%,0.3
644,Xavier Foupa-Pokam,"6' 1""",185 lbs.,,Open Stance,"Jul 03, 1982",1.47,43%,2.5,49%,0.0,0%,16%,0.0
645,Tim Hague,"6' 4""",260 lbs.,"76""",Orthodox,"May 09, 1983",2.79,47%,4.14,46%,1.72,33%,85%,0.9
646,Mike Pyle,"6' 0""",170 lbs.,"74""",Orthodox,"Sep 18, 1975",2.74,45%,2.84,60%,1.8,35%,70%,1.5
647,Peter Sobotta,"6' 0""",170 lbs.,"75""",Southpaw,"Jan 11, 1987",2.14,40%,2.9,58%,1.53,32%,77%,0.5
648,Rick Story,"5' 9""",170 lbs.,"71""",Southpaw,"Aug 28, 1984",3.8,41%,2.17,62%,2.53,48%,63%,0.9
649,Ross Pearson,"5' 8""",155 lbs.,"69""",Orthodox,"Sep 26, 1984",3.68,40%,4.09,62%,0.74,35%,75%,0.0
650,Nick Osipczak,"6' 2""",170 lbs.,"76""",Orthodox,"Dec 30, 1984",2.83,50%,3.77,50%,1.2,45%,71%,1.0
651,James Wilks,"6' 1""",170 lbs.,"75""",Orthodox,"May 04, 1978",1.82,45%,2.03,50%,1.27,22%,66%,3.8
652,Andre Winner,"5' 11""",155 lbs.,"73""",Orthodox,"Nov 09, 1981",2.52,33%,4.57,51%,0.0,0%,74%,0.0
653,Edgar Garcia,"5' 10""",170 lbs.,"71""",Orthodox,"Feb 22, 1984",3.16,29%,4.23,60%,2.21,57%,50%,0.6
654,Frank Lester,"5' 11""",170 lbs.,,Orthodox,"Jun 10, 1984",2.18,36%,3.82,53%,0.0,0%,0%,0.0
655,Cameron Dollar,"5' 11""",155 lbs.,,Orthodox,"May 12, 1987",5.04,38%,2.94,61%,0.0,0%,0%,0.0
656,DaMarques Johnson,"6' 1""",170 lbs.,"75""",Orthodox,"Jun 28, 1982",2.11,37%,3.75,51%,1.18,55%,19%,0.7
657,Yoshihiro Akiyama,"5' 10""",170 lbs.,"75""",Orthodox,"Jul 29, 1975",3.1,41%,3.62,57%,2.29,67%,92%,1.0
658,Danillo Villefort,"6' 1""",185 lbs.,,Orthodox,"May 08, 1983",2.86,37%,2.4,68%,1.71,66%,33%,1.7
659,Jesse Lennox,"5' 9""",170 lbs.,"72""",Orthodox,"Mar 10, 1982",2.69,32%,3.2,64%,1.22,66%,63%,0.3
660,Johny Hendricks,"5' 9""",185 lbs.,"69""",Southpaw,"Sep 12, 1983",3.49,45%,3.99,53%,3.83,46%,63%,0.3
661,Mike Russow,"6' 1""",255 lbs.,"73""",Orthodox,"Sep 11, 1976",1.55,47%,2.9,59%,4.66,43%,0%,0.7
662,Todd Duffee,"6' 3""",260 lbs.,"78""",Orthodox,"Dec 06, 1985",5.93,37%,2.87,56%,0.72,25%,90%,0.0
663,Chris Tuchscherer,"6' 2""",258 lbs.,"76""",Orthodox,"Sep 08, 1975",1.35,31%,3.17,47%,1.19,18%,0%,0.6
664,Mike Pierce,"5' 8""",170 lbs.,"71""",Orthodox,"Sep 01, 1980",2.62,42%,2.36,62%,3.08,42%,71%,0.2
665,Jay Silva,"6' 2""",185 lbs.,,Southpaw,,1.13,34%,3.07,40%,0.0,0%,38%,1.0
666,Jake Ellenberger,"5' 9""",170 lbs.,"71""",Orthodox,"Mar 28, 1985",2.47,39%,2.83,60%,2.04,47%,86%,0.4
667,Steve Steinbeiss,"6' 3""",185 lbs.,"75""",Orthodox,"May 05, 1981",3.92,55%,1.86,49%,0.44,50%,58%,0.0
668,Nik Lentz,"5' 8""",145 lbs.,"68""",Orthodox,"Aug 13, 1984",3.44,47%,3.25,50%,3.3,32%,43%,1.2
669,Paul Daley,"5' 9""",170 lbs.,"76""",Orthodox,"Feb 21, 1983",3.14,47%,2.37,60%,0.91,40%,64%,0.0
670,Igor Pokrajac,"6' 0""",205 lbs.,"74""",Orthodox,"Jan 02, 1979",2.25,45%,4.26,40%,0.87,29%,51%,0.2
671,Steve Lopez,"5' 11""",155 lbs.,,Orthodox,"Jul 30, 1984",1.39,24%,2.69,62%,0.0,0%,37%,0.0
672,Rafaello Oliveira,"5' 8""",155 lbs.,"71""",Orthodox,"Jan 26, 1982",2.19,33%,3.38,59%,2.49,36%,11%,1.6
673,Brian Foster,"5' 9""",170 lbs.,"71""",Orthodox,"Apr 03, 1984",3.3,39%,1.63,65%,3.67,60%,37%,1.8
674,Ben Rothwell,"6' 4""",265 lbs.,"78""",Orthodox,"Oct 17, 1981",3.55,41%,4.57,46%,0.63,33%,69%,0.3
675,Chase Gormley,"6' 3""",265 lbs.,,Orthodox,,3.6,42%,6.03,44%,3.12,42%,0%,1.0
676,Jared Hamman,"6' 3""",185 lbs.,"75""",Orthodox,"Mar 07, 1982",5.15,42%,3.93,55%,1.57,46%,30%,0.0
677,Alexander Gustafsson,"6' 5""",205 lbs.,"79""",Orthodox,"Jan 15, 1987",4.02,40%,3.42,51%,1.54,39%,83%,0.4
678,Jacob Volkmann,"5' 9""",155 lbs.,"71""",Southpaw,"Sep 05, 1980",1.19,34%,1.78,52%,3.19,48%,52%,2.0
679,Fabricio Camoes,"5' 10""",155 lbs.,"71""",Orthodox,"Dec 23, 1978",1.29,33%,1.85,61%,2.34,32%,20%,1.5
680,Rogerio Nogueira,"6' 2""",205 lbs.,"75""",Southpaw,"Jun 02, 1976",2.43,35%,2.34,59%,0.64,44%,62%,0.8
681,Matt Mitrione,"6' 3""",265 lbs.,"82""",Switch,"Jul 15, 1978",3.55,50%,2.79,64%,0.0,0%,55%,0.7
682,Jon Madsen,"6' 0""",240 lbs.,"72""",Orthodox,"Feb 12, 1980",2.46,41%,1.18,81%,1.32,71%,70%,0.0
683,Roy Nelson,"6' 0""",263 lbs.,"73""",Orthodox,"Jun 20, 1976",2.18,36%,4.79,46%,1.14,27%,65%,0.1
684,Kevin Ferguson,"6' 2""",235 lbs.,"77""",Orthodox,"Feb 08, 1974",2.3,50%,3.41,38%,3.1,72%,36%,1.2
685,James McSweeney,"6' 4""",230 lbs.,"77""",Switch,"Oct 24, 1980",3.94,55%,4.33,42%,0.52,33%,100%,1.1
686,Justin Wren,"6' 2""",265 lbs.,,Orthodox,"Apr 27, 1987",3.43,35%,2.07,64%,0.0,0%,100%,0.0
687,Brendan Schaub,"6' 4""",245 lbs.,"78""",Orthodox,"Mar 18, 1983",2.92,37%,2.22,57%,2.32,46%,72%,0.4
688,Marcus Jones,"6' 6""",265 lbs.,,Orthodox,"Aug 15, 1973",1.94,52%,2.71,58%,8.71,75%,0%,2.9
689,Rodney Wallace,"5' 9""",205 lbs.,"72""",Switch,"Nov 21, 1981",1.13,46%,3.44,45%,6.0,54%,28%,1.0
690,Joe Brammer,"5' 8""",155 lbs.,,Orthodox,"Aug 23, 1983",2.15,31%,2.8,56%,0.81,50%,50%,0.0
691,Darrill Schoonover,"6' 2""",220 lbs.,,Orthodox,"Jul 18, 1985",1.2,33%,4.35,38%,0.0,0%,50%,1.1
692,Ricardo Funch,"5' 10""",170 lbs.,"74""",Southpaw,"Aug 14, 1980",2.61,65%,3.57,40%,1.24,18%,60%,0.0
693,Lucio Linhares,"6' 2""",185 lbs.,,Orthodox,"Dec 08, 1973",0.99,22%,3.47,34%,1.86,50%,50%,1.9
694,John Gunderson,"5' 9""",155 lbs.,"69""",Orthodox,"Jan 05, 1979",1.04,27%,1.71,58%,1.67,33%,11%,2.0
695,Gilbert Yvel,"6' 2""",225 lbs.,"77""",Orthodox,"Jun 30, 1976",1.05,47%,1.78,50%,0.0,0%,25%,1.0
696,John Salter,"6' 1""",185 lbs.,"74""",Southpaw,"Mar 21, 1985",1.68,32%,1.68,68%,2.85,46%,66%,0.5
697,Mike Guymon,"6' 0""",170 lbs.,"74""",Orthodox,"Sep 17, 1974",2.75,65%,0.79,66%,1.87,37%,54%,1.2
698,Rory MacDonald,"6' 0""",170 lbs.,"76""",Orthodox,"Jul 22, 1989",3.75,42%,2.8,62%,1.77,47%,88%,0.4
699,Gerald Harris,"5' 11""",185 lbs.,"77""",Southpaw,"Nov 19, 1979",1.41,29%,1.58,62%,2.96,54%,72%,0.0
700,Joey Beltran,"6' 1""",185 lbs.,"75""",Orthodox,"Dec 08, 1981",4.92,36%,5.27,54%,0.48,18%,75%,0.0
701,Phil Davis,"6' 2""",205 lbs.,"79""",Orthodox,"Sep 25, 1984",2.85,34%,1.33,72%,2.99,38%,72%,0.6
702,Rolles Gracie,"6' 4""",242 lbs.,,Orthodox,"Jul 14, 1978",2.3,32%,3.38,55%,2.3,10%,0%,0.0
703,Ronys Torres,"5' 7""",155 lbs.,,Orthodox,"Aug 13, 1975",0.87,26%,1.93,57%,4.0,47%,16%,0.5
704,James Te Huna,"6' 2""",185 lbs.,"75""",Orthodox,"Sep 29, 1981",4.04,51%,2.99,62%,2.75,37%,58%,0.2
705,Julio Paulino,"6' 0""",170 lbs.,,Orthodox,"Dec 04, 1975",0.97,27%,1.87,48%,0.0,0%,37%,0.5
706,Daniel Roberts,"5' 10""",170 lbs.,"74""",Southpaw,"Aug 05, 1980",0.73,20%,2.27,46%,2.46,44%,40%,2.5
707,Darren Elkins,"5' 10""",145 lbs.,"71""",Orthodox,"May 16, 1984",3.5,38%,3.08,52%,2.7,33%,58%,1.2
708,Greg Soto,"5' 11""",170 lbs.,"73""",Orthodox,"Jun 03, 1986",3.21,63%,2.61,52%,1.49,27%,44%,1.0
709,Charlie Brenneman,"5' 10""",155 lbs.,"70""",Orthodox,"Feb 09, 1981",1.52,56%,1.55,46%,4.23,42%,72%,0.0
710,Mario Miranda,"6' 3""",185 lbs.,"74""",Orthodox,"Jul 12, 1979",1.96,54%,2.46,36%,1.02,60%,54%,0.0
711,Jason High,"5' 8""",155 lbs.,"73""",Southpaw,"Oct 12, 1981",1.28,42%,1.56,48%,2.36,63%,37%,2.8
712,Takanori Gomi,"5' 7""",155 lbs.,"70""",Southpaw,"Sep 22, 1978",3.81,41%,3.52,60%,1.23,65%,63%,0.8
713,Renzo Gracie,"5' 10""",185 lbs.,,Orthodox,"Mar 11, 1967",1.71,41%,1.67,55%,1.13,20%,40%,0.8
714,Waylon Lowe,"5' 7""",145 lbs.,,Southpaw,"Oct 31, 1980",1.88,55%,2.4,53%,4.47,55%,83%,0.3
715,Cyrille Diabate,"6' 6""",205 lbs.,"81""",Southpaw,"Oct 06, 1973",4.06,71%,1.78,60%,1.17,83%,53%,0.2
716,Claude Patrick,"5' 11""",170 lbs.,"75""",Orthodox,"Jun 14, 1980",1.8,55%,0.89,69%,2.32,53%,84%,1.7
717,Josh Bryant,"5' 10""",185 lbs.,,Orthodox,"Apr 23, 1980",1.1,20%,6.1,43%,0.0,0%,0%,0.0
718,Brad Tavares,"6' 1""",185 lbs.,"74""",Orthodox,"Dec 21, 1987",3.04,41%,2.73,56%,0.97,27%,79%,0.0
719,Chris Camozzi,"6' 2""",185 lbs.,"75""",Orthodox,"Nov 20, 1986",3.57,44%,2.96,56%,0.27,19%,57%,0.5
720,Jamie Yager,"6' 1""",185 lbs.,,Orthodox,"Nov 29, 1983",3.08,39%,2.55,63%,0.0,0%,66%,0.0
721,Court McGee,"5' 11""",170 lbs.,"75""",Orthodox,"Dec 12, 1984",4.9,36%,3.94,61%,1.6,21%,63%,0.4
722,Kris McCray,"6' 0""",170 lbs.,"76""",Orthodox,"Sep 24, 1981",2.69,45%,2.57,54%,2.88,55%,38%,0.0
723,Rich Attonito,"5' 10""",170 lbs.,"72""",Orthodox,"Jun 16, 1977",2.28,47%,2.13,59%,0.74,37%,75%,0.0
724,Mark Holst,"6' 0""",155 lbs.,,Orthodox,"Aug 14, 1985",0.25,19%,1.67,47%,0.76,100%,60%,2.3
725,Seth Baczynski,"6' 3""",170 lbs.,"75""",Orthodox,"Oct 26, 1981",3.08,31%,3.14,51%,0.89,16%,48%,0.8
726,Kyle Noke,"6' 1""",170 lbs.,"76""",Southpaw,"Mar 18, 1980",3.23,50%,2.09,64%,1.53,54%,66%,0.8
727,Travis Browne,"6' 6""",255 lbs.,"79""",Orthodox,"Jul 17, 1982",2.93,41%,4.31,42%,1.21,68%,75%,0.2
728,James Hammortree,"6' 3""",185 lbs.,,Orthodox,"Nov 29, 1983",1.93,30%,4.13,44%,2.0,50%,100%,1.0
729,Ricardo Romero,"6' 0""",205 lbs.,"76""",Orthodox,"Apr 15, 1978",2.17,55%,4.77,46%,1.63,10%,100%,3.3
730,David Branch,"6' 1""",185 lbs.,"78""",Orthodox,"Sep 26, 1981",1.66,39%,1.91,56%,2.55,32%,43%,0.0
731,Karlos Vemola,"6' 0""",185 lbs.,"75""",Orthodox,"Jul 03, 1985",1.67,44%,2.13,37%,1.93,25%,31%,1.7
732,Charles Oliveira,"5' 10""",155 lbs.,"74""",Orthodox,"Oct 17, 1989",3.22,52%,2.94,54%,2.64,44%,57%,2.8
733,Christian Morecraft,"6' 6""",260 lbs.,"81""",Orthodox,"Sep 08, 1986",2.82,34%,2.46,46%,3.26,66%,50%,2.2
734,Todd Brown,"5' 11""",205 lbs.,,Orthodox,"Dec 13, 1976",2.15,45%,3.85,48%,0.0,0%,50%,0.0
735,Amilcar Alves,"6' 0""",170 lbs.,,Southpaw,"Aug 08, 1988",0.5,46%,2.02,30%,0.0,0%,53%,0.0
736,James Toney,"5' 9""",220 lbs.,,Orthodox,"Aug 24, 1968",0.0,0%,2.41,27%,0.0,0%,0%,0.0
737,David Mitchell,"6' 0""",170 lbs.,"75""",Orthodox,"Oct 24, 1979",1.74,32%,2.06,55%,0.66,50%,29%,2.0
738,TJ Waldburger,"5' 11""",170 lbs.,"75""",Orthodox,"Apr 25, 1988",2.02,51%,2.39,40%,3.03,46%,40%,4.8
739,Rafael Natal,"6' 0""",185 lbs.,"77""",Orthodox,"Dec 25, 1982",3.1,47%,2.48,57%,2.55,34%,77%,0.5
740,Mark Hunt,"5' 10""",265 lbs.,"72""",Orthodox,"Mar 23, 1974",2.81,43%,2.9,51%,0.51,55%,64%,0.2
741,Pat Audinwood,"6' 0""",155 lbs.,,Orthodox,"Apr 16, 1986",1.17,12%,4.31,41%,0.8,50%,0%,0.0
742,Sean McCorkle,"6' 7""",265 lbs.,"81""",Orthodox,"Jul 17, 1976",0.85,44%,2.48,52%,2.12,40%,33%,4.2
743,Paul Sass,"6' 0""",155 lbs.,"73""",Orthodox,"Aug 04, 1988",0.53,26%,1.9,51%,0.53,16%,33%,7.4
744,Rob Broughton,"6' 2""",265 lbs.,"74""",Orthodox,"Mar 03, 1983",2.83,60%,2.54,51%,0.0,0%,26%,3.2
745,Vinicius Queiroz,"6' 7""",220 lbs.,,,"Aug 29, 1983",3.67,51%,4.1,41%,5.07,70%,100%,0.7
746,Fabio Maldonado,"6' 1""",205 lbs.,"75""",Orthodox,"Mar 17, 1980",5.29,58%,4.31,53%,0.44,57%,61%,0.6
747,Curt Warburton,"6' 0""",155 lbs.,"73""",Orthodox,,2.13,42%,3.44,43%,2.35,50%,83%,0.9
748,Jake Shields,"6' 0""",170 lbs.,"72""",Orthodox,"Jan 09, 1979",2.45,36%,1.8,56%,2.83,29%,35%,1.2
749,Dongi Yang,"5' 10""",185 lbs.,"73""",Southpaw,"Dec 07, 1984",3.55,51%,3.21,63%,1.7,41%,61%,0.5
750,Pascal Krauss,"6' 1""",170 lbs.,,Orthodox,"Apr 19, 1987",5.45,47%,3.88,59%,1.53,50%,60%,0.9
751,Carlos Eduardo Rocha,"5' 10""",170 lbs.,"73""",Orthodox,"Jul 12, 1981",1.24,34%,1.85,55%,0.0,0%,52%,1.4
752,Alexandre Ferreira,"5' 7""",205 lbs.,,Orthodox,"Apr 25, 1979",2.57,60%,8.14,42%,0.0,0%,0%,0.0
753,Mark Scanlon,"5' 9""",170 lbs.,,Orthodox,,2.2,35%,3.33,48%,3.0,75%,25%,2.0
754,Mike Lullo,"5' 8""",145 lbs.,,Orthodox,"Jul 24, 1979",2.48,36%,4.84,40%,1.18,11%,0%,0.6
755,Maiquel Falcao,"5' 11""",185 lbs.,,Orthodox,"Mar 08, 1981",1.67,55%,0.53,86%,1.0,100%,71%,3.0
756,Edson Barboza,"5' 11""",145 lbs.,"75""",Orthodox,"Jan 21, 1986",3.98,43%,4.03,60%,0.44,44%,78%,0.1
757,TJ O'Brien,"6' 2""",155 lbs.,,Orthodox,"Jan 01, 1987",3.77,46%,4.78,57%,0.94,100%,0%,0.0
758,Fredson Paixao,"5' 6""",145 lbs.,"66""",Orthodox,"May 13, 1979",1.71,54%,2.31,62%,0.62,11%,10%,2.2
759,Kyle Watson,"6' 0""",155 lbs.,,Southpaw,"Aug 09, 1979",3.67,35%,3.25,62%,0.0,0%,100%,0.0
760,Aaron Wilkinson,"5' 10""",155 lbs.,,,"Jan 31, 1987",0.0,0%,0.0,100%,7.32,100%,0%,0.0
761,Michael Johnson,"5' 10""",155 lbs.,"73""",Southpaw,"Jun 04, 1986",4.21,38%,3.82,58%,0.49,45%,77%,0.1
762,Tyler Toner,"5' 8""",145 lbs.,"70""",Orthodox,"Mar 31, 1983",2.95,52%,2.13,62%,0.0,0%,54%,0.4
763,Nick Pace,"5' 7""",135 lbs.,"68""",Orthodox,"Apr 17, 1987",1.48,34%,3.14,57%,2.52,43%,54%,0.5
764,Pablo Garza,"6' 1""",145 lbs.,"73""",Orthodox,"Sep 16, 1983",3.37,44%,2.7,50%,0.94,25%,15%,1.3
765,Nam Phan,"5' 6""",135 lbs.,"70""",Orthodox,"Mar 13, 1983",4.52,37%,6.55,59%,0.18,18%,60%,0.2
766,Sako Chivitchian,"5' 11""",155 lbs.,,,"Mar 11, 1984",2.4,27%,4.8,46%,0.0,0%,100%,0.0
767,Cody McKenzie,"6' 0""",155 lbs.,"72""",Switch,"Dec 16, 1987",1.74,34%,2.5,67%,2.5,25%,14%,2.5
768,Jonathan Brookins,"6' 0""",145 lbs.,"74""",Southpaw,"Aug 13, 1985",2.69,39%,3.63,56%,1.94,17%,80%,0.3
769,Ian Loveland,"5' 8""",145 lbs.,,Orthodox,"Sep 07, 1983",2.71,40%,2.36,64%,1.0,37%,69%,0.3
